年度,事件名稱,災害類型,縣市,鄉鎮,村里,災害地點,速報連結,災害時間,審查會議日期
108,108其他,崩塌,苗栗縣,泰安鄉,象鼻村,大安部落,https://246.swcb.gov.tw/AllFiles/PDF/06.108年其他-苗栗泰安-001.pdf,20190625,2019-12-04 00:00:00
108,0611豪雨,"沖蝕,崩塌",臺中市,太平區,黃竹里,草湖溪糖廓橋,https://246.swcb.gov.tw/AllFiles/PDF/02.108年0611豪雨-臺中太平-001.pdf,20190611,2019-12-04 00:00:00
108,0611豪雨,"沖蝕,崩塌",南投縣,國姓鄉,大旗村,福旗巷 18 號,https://246.swcb.gov.tw/AllFiles/PDF/04.108年0611豪雨-南投國姓-002.pdf,20190611,2019-12-04 00:00:00
108,0611豪雨,崩塌,南投縣,國姓鄉,長豐村,水流東溪,https://246.swcb.gov.tw/AllFiles/PDF/03.108年0611豪雨-南投國姓-001.pdf,20190611,2019-12-04 00:00:00
108,0520豪雨,土石流,臺中市,和平區,梨山里,台八線臨 37 便道 11.8k,https://246.swcb.gov.tw/AllFiles/PDF/01.108年0520豪雨-臺中和平-001.pdf,20190519,2019-12-04 00:00:00
107,0823熱帶低壓,土石流,屏東縣,獅子鄉,竹坑村,台 26 線屏鵝公路 386 號橋,https://246.swcb.gov.tw/AllFiles/PDF/03.107年0823熱帶低壓-屏東獅子-002(摘).pdf,20180824,2018-08-29 00:00:00
107,0823熱帶低壓,土石流,屏東縣,獅子鄉,竹坑村,台 26 線屏鵝公路 385 號橋,https://246.swcb.gov.tw/AllFiles/PDF/02.107年0823熱帶低壓-屏東獅子-001(摘).pdf,20180824,2018-08-29 00:00:00
107,0823熱帶低壓,崩塌,臺南市,左鎮區,澄山里,南 171-1 線 2.3K,https://246.swcb.gov.tw/AllFiles/PDF/04.107年0823熱帶低壓-臺南左鎮-001(摘).pdf,20180823,2018-09-05 00:00:00
107,0823熱帶低壓,崩塌,高雄市,桃源區,寶山里,藤枝林道 18.3K,https://246.swcb.gov.tw/AllFiles/PDF/05.107年0823熱帶低壓-高雄桃源-001(摘).pdf,20180823,2018-09-10 00:00:00
107,其他,崩塌,苗栗縣,南庄鄉,東河村,301 農路,https://246.swcb.gov.tw/AllFiles/PDF/01.107年其他-苗栗南庄-001(摘).pdf,20180308,2018-05-10 00:00:00
106,1011豪雨,"沖蝕,洪水,崩塌",臺東縣,東河鄉,泰源村,東河鄉泰源村,https://246.swcb.gov.tw/AllFiles/PDF/24.106年1011豪雨-臺東東河-001(摘).pdf,20171015,2017-12-06 00:00:00
106,1011豪雨,"洪水,崩塌",臺東縣,池上鄉,富興村,池上鄉富興村山棕寮一帶,https://246.swcb.gov.tw/AllFiles/PDF/25.106年1011豪雨-臺東池上-001(摘).pdf,20171015,2017-12-06 00:00:00
106,1011豪雨,土石流,臺東縣,卑南鄉,溫泉村,溫泉村鎮樂122號民宅,https://246.swcb.gov.tw/AllFiles/PDF/19.106年1011豪雨-臺東卑南-002(摘).pdf,20171014,2017-12-06 00:00:00
106,1011豪雨,"洪水,崩塌",臺東縣,卑南鄉,溫泉村,溫泉村知本富野飯店,https://246.swcb.gov.tw/AllFiles/PDF/18.106年1011豪雨-臺東卑南-001(摘).pdf,20171014,2017-12-06 00:00:00
106,1011豪雨,崩塌,新北市,汐止區,東勢里,東勢街 201 巷 ,https://246.swcb.gov.tw/AllFiles/PDF/20.106年1011豪雨-新北汐止-001(摘).pdf,20171014,2017-12-06 00:00:00
106,1011豪雨,崩塌,新北市,汐止區,白雲里,水源路二段 110 巷 ,https://246.swcb.gov.tw/AllFiles/PDF/21.106年1011豪雨-新北汐止-002(摘).pdf,20171013,2017-12-06 00:00:00
106,1011豪雨,洪水,宜蘭縣,大同鄉,茂安村,德荃橋(台 7 甲線 11.4K),https://246.swcb.gov.tw/AllFiles/PDF/17.106年1011豪雨-宜蘭大同-001(摘).pdf,20171013,2017-12-06 00:00:00
106,尼莎暨海棠颱風,土石流,屏東縣,枋山鄉,善餘村,台26線屏鵝公路380號橋,https://246.swcb.gov.tw/AllFiles/PDF/16.106年尼莎暨海棠颱風-屏東枋山-001(摘).pdf,20170730,2017-12-06 00:00:00
106,尼莎暨海棠颱風,崩塌,南投縣,信義鄉,同富村,台 21 線 115K+540,https://246.swcb.gov.tw/AllFiles/PDF/14.106年尼莎暨海棠颱風-南投信義-001(摘).pdf,20170730,2017-12-06 00:00:00
106,尼莎暨海棠颱風,洪水,宜蘭縣,大同鄉,茂安村,德荃橋(台 7 甲線 11.5k) ,https://246.swcb.gov.tw/AllFiles/PDF/15.106年尼莎暨海棠颱風-宜蘭大同-001(摘).pdf,20170729,2017-12-06 00:00:00
106,0613豪雨,"沖蝕,崩塌",苗栗縣,泰安鄉,中興村,司馬限部落,https://246.swcb.gov.tw/AllFiles/PDF/13.106年0613豪雨-苗栗泰安-001(摘).pdf,20170615,2017-12-06 00:00:00
106,0613豪雨,崩塌,南投縣,國姓鄉,石門村,武玄宮 ,https://246.swcb.gov.tw/AllFiles/PDF/11.106年0613豪雨-南投國姓-001(摘).pdf,20170615,2017-12-06 00:00:00
106,0601豪雨,崩塌,南投縣,信義鄉,明德村,台 21 線 87K~88K,https://246.swcb.gov.tw/AllFiles/PDF/03.106年0601豪雨-南投信義-001(摘)v2.pdf,20170604,2017-12-06 00:00:00
106,0601豪雨,崩塌,南投縣,鹿谷鄉,竹林村,小半天瀑布 ,https://246.swcb.gov.tw/AllFiles/PDF/12.106年0601豪雨-南投鹿谷-001(摘).pdf,20170603,2017-12-06 00:00:00
106,0601豪雨,"土石流,崩塌",雲林縣,古坑鄉,桂林村,苦苓腳村 6 鄰,https://246.swcb.gov.tw/AllFiles/PDF/09.106年0601豪雨-雲林古坑-001(摘).pdf,20170603,2017-12-06 00:00:00
106,0601豪雨,洪水,南投縣,信義鄉,神木村,隆華橋,https://246.swcb.gov.tw/AllFiles/PDF/04.106年0601豪雨-南投信義-002(摘).pdf,20170603,2017-12-06 00:00:00
106,0601豪雨,崩塌,南投縣,水里鄉,新山村,人倫林道,https://246.swcb.gov.tw/AllFiles/PDF/02.106年0601豪雨-南投水里-001(摘).pdf,20170603,2017-12-06 00:00:00
